command,mean,stddev,median,user,system,min,max
16c,28.1571794022,0,28.1571794022,0.011663199999999999,0.0074148,28.1571794022,28.1571794022
16d,9.5142114022,0,9.5142114022,0.0116552,0.006486799999999999,9.5142114022,9.5142114022
17a,14.9701691102,0,14.9701691102,0.0113932,0.0049748,14.9701691102,14.9701691102
17b,10.6199351532,0,10.6199351532,0.012072199999999998,0.007448799999999999,10.6199351532,10.6199351532
17c,10.173471069200001,0,10.173471069200001,0.012171199999999998,0.0070328,10.173471069200001,10.173471069200001
17d,13.4089309022,0,13.4089309022,0.0116472,0.0066218,13.4089309022,13.4089309022
17e,17.902701694199997,0,17.902701694199997,0.011930199999999998,0.0073418,17.902701694199997,17.902701694199997
17f,15.916248235200001,0,15.916248235200001,0.011845199999999998,0.0061828,15.916248235200001,15.916248235200001
18a,13.2777650692,0,13.2777650692,0.0122832,0.0064177999999999995,13.2777650692,13.2777650692
18b,6.4145725272,0,6.4145725272,0.011066199999999998,0.0048037999999999996,6.4145725272,6.4145725272
18c,25.4712267352,0,25.4712267352,0.0113662,0.0055098,25.4712267352,25.4712267352
19a,55.9272766112,0,55.9272766112,0.0117062,0.0071108,55.9272766112,55.9272766112
19b,3.7062917781999998,0,3.7062917781999998,0.011901199999999999,0.015287799999999999,3.7062917781999998,3.7062917781999998
19c,2.8036013602,0,2.8036013602,0.011746199999999998,0.007260799999999999,2.8036013602,2.8036013602
19d,18.3082107772,0,18.3082107772,0.011309199999999998,0.005651799999999999,18.3082107772,18.3082107772
1a,1.4645303612,0,1.4645303612,0.0118552,0.005833799999999999,1.4645303612,1.4645303612
1b,1.1540026112000001,0,1.1540026112000001,0.010796199999999999,0.0036457999999999994,1.1540026112000001,1.1540026112000001
1c,1.1840893602,0,1.1840893602,0.011157199999999999,0.004364799999999999,1.1840893602,1.1840893602
1d,1.1664784022,0,1.1664784022,0.011169199999999999,0.003965799999999999,1.1664784022,1.1664784022
20a,20.3858910692,0,20.3858910692,0.011271199999999999,0.0050208,20.3858910692,20.3858910692
20b,10.6224946102,0,10.6224946102,0.0118652,0.0067507999999999995,10.6224946102,10.6224946102
20c,6.0319288612,0,6.0319288612,0.012038199999999999,0.0065108,6.0319288612,6.0319288612
21a,0.0874994862,0,0.0874994862,0.0112812,0.005003799999999999,0.0874994862,0.0874994862
21b,0.0483273192,0,0.0483273192,0.011190199999999999,0.0038918,0.0483273192,0.0483273192
21c,0.04472015220000001,0,0.04472015220000001,0.0119292,0.005383799999999999,0.04472015220000001,0.04472015220000001
22a,7.5309198192,0,7.5309198192,0.0113642,0.0047938,7.5309198192,7.5309198192
22b,2.4452625271999997,0,2.4452625271999997,0.011339199999999999,0.004689799999999999,2.4452625271999997,2.4452625271999997
22c,21.8896073192,0,21.8896073192,0.011384199999999999,0.0054567999999999995,21.8896073192,21.8896073192
22d,14.1460206102,0,14.1460206102,0.011406199999999998,0.0063228,14.1460206102,14.1460206102
23a,4.6555881522,0,4.6555881522,0.011637199999999999,0.0064957999999999995,4.6555881522,4.6555881522
23b,4.4028889852,0,4.4028889852,0.012109199999999999,0.0051188,4.4028889852,4.4028889852
23c,10.252023986200001,0,10.252023986200001,0.0116472,0.0059948,10.252023986200001,10.252023986200001
24a,2.9081944442,0,2.9081944442,0.012185199999999998,0.0070538,2.9081944442,2.9081944442
24b,3.6035612782,0,3.6035612782,0.011545199999999999,0.0048227999999999995,3.6035612782,3.6035612782
25a,28.5072939862,0,28.5072939862,0.0112842,0.005141799999999999,28.5072939862,28.5072939862
25b,4.1061083192,0,4.1061083192,0.011292199999999999,0.0058758,4.1061083192,4.1061083192
25c,27.294985444199998,0,27.294985444199998,0.0113952,0.0063338,27.294985444199998,27.294985444199998
26a,3.3963811942,0,3.3963811942,0.0116292,0.0058518,3.3963811942,3.3963811942
26b,0.3954161942,0,0.3954161942,0.0114732,0.004684799999999999,0.3954161942,0.3954161942
26c,7.0243700282,0,7.0243700282,0.0109152,0.0040348,7.0243700282,7.0243700282
27a,0.0717996942,0,0.0717996942,0.0112742,0.0063008,0.0717996942,0.0717996942
27b,0.04316123620000001,0,0.04316123620000001,0.0107832,0.0033997999999999997,0.04316123620000001,0.04316123620000001
27c,0.05451377720000001,0,0.05451377720000001,0.011072199999999999,0.0035058,0.05451377720000001,0.05451377720000001
28a,5.395171611199999,0,5.395171611199999,0.0112602,0.0039948,5.395171611199999,5.395171611199999
28b,1.7688451942,0,1.7688451942,0.011129199999999999,0.0038897999999999997,1.7688451942,1.7688451942
28c,2.3436679022,0,2.3436679022,0.011321199999999998,0.0047247999999999995,2.3436679022,2.3436679022
29a,0.4581286532,0,0.4581286532,0.011065199999999999,0.0040488,0.4581286532,0.4581286532
29b,0.35457461020000003,0,0.35457461020000003,0.011080199999999998,0.0036428,0.35457461020000003,0.35457461020000003
29c,2.5229857771999997,0,2.5229857771999997,0.011106199999999998,0.0041268,2.5229857771999997,2.5229857771999997
2a,4.6986245272,0,4.6986245272,0.0109422,0.004898799999999999,4.6986245272,4.6986245272
2b,4.2483139852,0,4.2483139852,0.0114162,0.005219799999999999,4.2483139852,4.2483139852
2c,1.1241760692,0,1.1241760692,0.011559199999999999,0.005859799999999999,1.1241760692,1.1241760692
2d,5.0283246942,0,5.0283246942,0.010933199999999999,0.0046857999999999995,5.0283246942,5.0283246942
30a,3.6343494032,0,3.6343494032,0.0120442,0.0053748,3.6343494032,3.6343494032
30b,0.2960002352,0,0.2960002352,0.010999199999999999,0.0037887999999999993,0.2960002352,0.2960002352
30c,20.2209819032,0,20.2209819032,0.0107952,0.0042048,20.2209819032,20.2209819032
31a,9.153291777200002,0,9.153291777200002,0.0117352,0.0061908,9.153291777200002,9.153291777200002
31b,1.3693911522000002,0,1.3693911522000002,0.011863199999999999,0.0055157999999999995,1.3693911522000002,1.3693911522000002
31c,12.3826227772,0,12.3826227772,0.0115112,0.004311799999999999,12.3826227772,12.3826227772
32a,0.0844121942,0,0.0844121942,0.0111402,0.0044507999999999995,0.0844121942,0.0844121942
32b,1.2889855692,0,1.2889855692,0.011183199999999999,0.0037917999999999997,1.2889855692,1.2889855692
33a,0.4779923192,0,0.4779923192,0.011328199999999998,0.0037917999999999997,0.4779923192,0.4779923192
33b,0.45392590320000004,0,0.45392590320000004,0.010884199999999998,0.0032947999999999996,0.45392590320000004,0.45392590320000004
33c,0.4305783612,0,0.4305783612,0.0107812,0.0032887999999999997,0.4305783612,0.4305783612
3a,9.8520838192,0,9.8520838192,0.0109482,0.0039248,9.8520838192,9.8520838192
3b,8.6005066532,0,8.6005066532,0.011014199999999998,0.0048308,8.6005066532,8.6005066532
3c,10.191299819200001,0,10.191299819200001,0.011077199999999999,0.0046148,10.191299819200001,10.191299819200001
4a,2.8401225692,0,2.8401225692,0.0114002,0.0049808,2.8401225692,2.8401225692
4b,0.9917776112000001,0,0.9917776112000001,0.010987199999999999,0.0037527999999999997,0.9917776112000001,0.9917776112000001
4c,3.0081887781999996,0,3.0081887781999996,0.0109272,0.0037787999999999997,3.0081887781999996,3.0081887781999996
5a,0.9363584852000001,0,0.9363584852000001,0.0107462,0.0040587999999999996,0.9363584852000001,0.9363584852000001
5b,0.9066271942,0,0.9066271942,0.0107742,0.0033977999999999994,0.9066271942,0.9066271942
5c,9.750305236200001,0,9.750305236200001,0.0110072,0.0041518,9.750305236200001,9.750305236200001
6a,2.3585548191999997,0,2.3585548191999997,0.011068199999999999,0.004958799999999999,2.3585548191999997,2.3585548191999997
6b,2.3113941521999997,0,2.3113941521999997,0.0114962,0.004931799999999999,2.3113941521999997,2.3113941521999997
6c,2.3066312771999997,0,2.3066312771999997,0.011443199999999999,0.0045178,2.3066312771999997,2.3066312771999997
6d,2.3453335691999997,0,2.3453335691999997,0.010905199999999999,0.0047408,2.3453335691999997,2.3453335691999997
6e,2.3060147351999998,0,2.3060147351999998,0.010817199999999999,0.004101799999999999,2.3060147351999998,2.3060147351999998
6f,19.4062651532,0,19.4062651532,0.011108199999999999,0.005442799999999999,19.4062651532,19.4062651532
7a,5.6935306102,0,5.6935306102,0.011441199999999999,0.005650799999999999,5.6935306102,5.6935306102
7b,0.8858510692000001,0,0.8858510692000001,0.010713199999999999,0.0037557999999999992,0.8858510692000001,0.8858510692000001
7c,2.8378759442,0,2.8378759442,0.011160199999999999,0.0037338,2.8378759442,2.8378759442
8a,12.6689455272,0,12.6689455272,0.0108592,0.0047528,12.6689455272,12.6689455272
8b,1.5976248602,0,1.5976248602,0.011880199999999999,0.0059088,1.5976248602,1.5976248602
8c,29.076825027199998,0,29.076825027199998,0.011221199999999999,0.0053008,29.076825027199998,29.076825027199998
8d,23.0754248192,0,23.0754248192,0.011753199999999998,0.0064237999999999995,23.0754248192,23.0754248192
9a,55.5352727362,0,55.5352727362,0.011387199999999998,0.0061817999999999994,55.5352727362,55.5352727362
9b,16.6482601942,0,16.6482601942,0.011242199999999999,0.0074288,16.6482601942,16.6482601942
9c,3.1000991942,0,3.1000991942,0.011901199999999999,0.0070138,3.1000991942,3.1000991942
9d,17.3357751942,0,17.3357751942,0.010881199999999999,0.0054718,17.3357751942,17.3357751942
