estimated,actual,depth
5.0,10.0,3
463861.0,0.0,3
463861.0,0.0,3
35700000.0,36200000.0,3
4180000.0,4170000.0,3
1.0,0.0,3
753.0,17287.0,3
76240.0,2440000.0,3
640.0,66718.0,3
1.0,1.0,3
3388.0,290.0,3
0.0,0.0,3
113.0,113.0,4
113.0,113.0,4
235034.0,234997.0,4
11.0,1458.0,4
235034.0,234997.0,4
11.0,13.0,4
4180000.0,4170000.0,4
0.0,1.0,4
4.0,4.0,4
64.0,0.0,4
0.0,1.0,4
4.0,4.0,4
0.0,0.0,4
0.0,0.0,4
11.0,1.0,4
4060.0,324117.0,4
1.0,1.0,4
7.0,7.0,4
44.0,32.0,4
11.0,1.0,4
4060.0,454230.0,4
1.0,1.0,4
7.0,7.0,4
559.0,46634.0,4
13536.0,24592.0,4
0.0,0.0,4
0.0,1.0,4
11.0,1.0,4
135359.0,135086.0,4
1.0,1.0,4
7.0,7.0,4
14.0,19.0,4
26231.0,99.0,4
0.0,0.0,4
5.0,71.0,4
113.0,113.0,4
7033.0,11389.0,4
6.0,0.0,4
1.0,1.0,4
35163.0,63386.0,4
6.0,0.0,4
1.0,1.0,4
13536.0,85941.0,4
0.0,2.0,4
113.0,113.0,4
8.0,2300.0,4
0.0,0.0,4
13536.0,85941.0,4
1.0,1.0,4
7.0,7.0,4
0.0,0.0,4
3373.0,2315.0,4
0.0,0.0,4
0.0,1.0,4
4.0,4.0,4
0.0,0.0,4
12182.0,42432.0,4
0.0,1.0,4
11.0,1.0,4
1.0,3932.0,4
1.0,50.0,4
1.0,1.0,4
1354.0,68062.0,4
0.0,1.0,4
11.0,1.0,4
113.0,17.0,4
17.0,0.0,4
1354.0,17879.0,4
0.0,55.0,4
0.0,12922.0,4
0.0,63.0,4
1.0,1.0,4
14642.0,0.0,4
14642.0,0.0,4
1.0,3.0,4
1.0,159.0,4
1.0,1.0,4
3104.0,54461.0,4
0.0,0.0,4
13.0,111.0,4
7760.0,110436.0,4
0.0,0.0,4
5191.0,0.0,4
18.0,18.0,4
5.0,2.0,4
0.0,6.0,4
0.0,4.0,4
1.0,1.0,4
5.0,2.0,4
16267.0,30.0,4
30.0,432.0,4
1.0,1.0,4
16267.0,30.0,4
30.0,432.0,4
1.0,1.0,4
45873.0,305.0,4
0.0,0.0,4
3238.0,0.0,4
25905.0,798.0,4
0.0,0.0,4
4180000.0,4170000.0,4
4180000.0,4170000.0,4
752486.0,13974.0,4
109.0,18209.0,4
0.0,0.0,4
3506.0,7390.0,4
0.0,2.0,4
354964.0,1930000.0,4
0.0,1.0,4
2979.0,29660.0,4
0.0,2.0,4
3411.0,86.0,4
0.0,3.0,4
1.0,1.0,4
12.0,12.0,5
18.0,18.0,5
1.0,1.0,5
113.0,113.0,5
11.0,1.0,5
12180.0,459925.0,5
7.0,7.0,5
154.0,2877.0,5
11.0,1.0,5
12180.0,459925.0,5
1.0,1.0,5
7.0,7.0,5
817.0,4150000.0,5
113.0,113.0,5
12180.0,459925.0,5
465.0,1.0,5
113.0,113.0,5
12180.0,459925.0,5
1.0,328.0,5
1.0,1.0,5
2350.0,1.0,5
0.0,278.0,5
291.0,2485.0,5
235034.0,234997.0,5
14480.0,0.0,5
43444.0,0.0,5
67423.0,0.0,5
674226.0,0.0,5
606865.0,0.0,5
2474.0,0.0,5
27832.0,114.0,5
1.0,1.0,5
23503.0,83401.0,5
2.0,6.0,5
1.0,1.0,5
0.0,0.0,5
46386.0,5039.0,5
0.0,0.0,5
608.0,15713.0,5
1.0,0.0,5
13500.0,73.0,5
4050.0,16.0,5
135359.0,135086.0,5
0.0,2.0,5
12.0,0.0,5
580.0,220728.0,5
0.0,0.0,5
135359.0,135086.0,5
0.0,2.0,5
0.0,0.0,5
1.0,0.0,5
18.0,18.0,5
0.0,0.0,5
1.0,0.0,5
45873.0,324117.0,5
0.0,0.0,5
1.0,2.0,5
44.0,32.0,5
44.0,32.0,5
4.0,4.0,5
45873.0,454230.0,5
0.0,0.0,5
1.0,2.0,5
559.0,46634.0,5
559.0,46634.0,5
4.0,4.0,5
4512.0,2054.0,5
113.0,113.0,5
2.0,16.0,5
13536.0,24592.0,5
0.0,0.0,5
