label,query,join_buffer_size_bytes,optimistic_count,spill_count,duration_s
512KB,26b,524288,2,1,107.866964311
512KB,3a,524288,0,0,13.62251413
512KB,27c,524288,1,0,3.404040824
512KB,30a,524288,1,1,52.368095732
512KB,17f,524288,2,0,0.611280342
512KB,33a,524288,1,0,6.012076423
512KB,32b,524288,1,0,0.263358317
512KB,19d,524288,3,1,52.428459398
512KB,27a,524288,1,0,3.394293082
512KB,5c,524288,1,0,15.752302444
768KB,9d,786432,2,1,41.160256196
768KB,21a,786432,1,0,1.95888887
768KB,8b,786432,2,1,30.423831366
768KB,25b,786432,1,0,44.778869664
768KB,11b,786432,0,0,1.941810683
768KB,19c,786432,2,1,54.701429122
768KB,25a,786432,1,1,48.477840459
768KB,23a,786432,0,0,16.445251241
768KB,28c,786432,0,0,25.876644991
768KB,2c,786432,0,0,0.264728916
768KB,3b,786432,0,0,13.028763001
768KB,15a,786432,1,0,16.038314567
768KB,26c,786432,1,1,162.673116244
768KB,22d,786432,2,0,68.376346575
768KB,31c,786432,1,1,52.410662503
768KB,22a,786432,3,0,19.881666244
768KB,7b,786432,2,0,3.221553262
768KB,16d,786432,1,0,0.268493882
768KB,13c,786432,3,0,21.818617017
768KB,15c,786432,1,0,15.848118765
768KB,10b,786432,3,1,33.689284611
768KB,12b,786432,1,0,14.044600874
768KB,1a,786432,0,0,4.431160957
768KB,24b,786432,2,0,46.795478285
768KB,31a,786432,1,0,53.973731421
768KB,25c,786432,1,1,51.738647531
768KB,7c,786432,2,1,209.704441433
768KB,3c,786432,0,0,14.085984086
768KB,5b,786432,1,0,14.46160928
768KB,21b,786432,0,0,3.387721558
768KB,4b,786432,0,0,2.839681371
768KB,18b,786432,2,0,10.586293483
768KB,27b,786432,1,0,3.316928575
768KB,6b,786432,2,0,4.096961574
768KB,13a,786432,1,0,26.412478111
768KB,22c,786432,2,0,36.411596728
768KB,2b,786432,0,0,0.271937523
768KB,8d,786432,2,1,123.891333339
768KB,23b,786432,1,0,16.3146652
768KB,2d,786432,0,0,0.2993389
768KB,4a,786432,0,0,6.539804606
768KB,20b,786432,1,1,42.752903045
768KB,17b,786432,2,0,0.584619947
768KB,29c,786432,1,1,76.976866838
768KB,17e,786432,1,0,0.285337347
768KB,6e,786432,2,0,3.9593860149999998
768KB,4c,786432,0,0,7.342663063
768KB,14a,786432,1,0,28.423309535
768KB,9b,786432,2,1,33.866446724
768KB,7a,786432,2,0,3.24633561
768KB,11a,786432,0,0,1.983897373
768KB,11d,786432,2,0,4.753381134
768KB,18c,786432,1,1,47.357094462
768KB,6a,786432,2,0,3.9985326900000002
768KB,20c,786432,1,1,272.172711947
768KB,18a,786432,1,1,59.71153004
768KB,17a,786432,1,0,0.264222276
768KB,17d,786432,2,0,0.579611863
768KB,30c,786432,2,1,63.448949228
768KB,14b,786432,2,0,15.572723353
768KB,23c,786432,0,0,16.440617876
768KB,1d,786432,0,0,3.6735737840000002
768KB,2a,786432,0,0,0.267986129
768KB,8a,786432,2,1,32.693263824
768KB,17c,786432,2,0,0.570412029
768KB,12a,786432,0,0,15.903790389
768KB,11c,786432,1,0,7.02479772
768KB,32a,786432,1,0,0.285524451
768KB,28b,786432,1,0,19.763305133
768KB,33b,786432,1,0,6.014539414
768KB,9c,786432,2,1,41.29918576
768KB,26a,786432,2,1,90.047659213
768KB,10c,786432,2,1,42.261540807
768KB,10a,786432,2,0,34.795082647
768KB,29a,786432,2,0,51.169671187
768KB,16a,786432,1,0,0.270953799
768KB,19a,786432,2,1,59.98072281
768KB,14c,786432,1,0,28.53246346
768KB,6c,786432,2,0,4.022367835
768KB,15d,786432,1,0,15.783555301
768KB,22b,786432,3,0,18.649071095
768KB,15b,786432,1,0,16.161751628
768KB,28a,786432,1,0,24.048612994
768KB,9a,786432,2,1,42.211194858
768KB,12c,786432,0,0,18.606320412
768KB,5a,786432,1,0,14.953874228
768KB,29b,786432,1,0,49.215461006
768KB,31b,786432,2,0,47.843461499
768KB,6d,786432,2,0,3.915081702
768KB,19b,786432,2,1,46.385200757
768KB,24a,786432,2,1,54.441352651
768KB,33c,786432,1,0,6.15053306
768KB,1c,786432,0,0,4.019860364
768KB,8c,786432,2,1,137.428746615
768KB,16b,786432,1,0,0.288424854
768KB,13b,786432,3,0,21.78460763
768KB,6f,786432,2,2,58.572797796
768KB,1b,786432,0,0,3.645569986
768KB,20a,786432,1,1,989.750091723
768KB,16c,786432,1,0,0.298304814
768KB,13d,786432,1,0,68.78152819
768KB,30b,786432,1,0,35.889781228
768KB,21c,786432,1,0,1.963555896
768KB,26b,786432,2,1,88.37271958
768KB,3a,786432,0,0,13.494129274
768KB,27c,786432,1,0,3.37245942
768KB,30a,786432,2,1,47.658905957
768KB,17f,786432,2,0,0.566966035
768KB,33a,786432,1,0,6.330278158
768KB,32b,786432,1,0,0.280448257
768KB,19d,786432,3,1,52.193094362
768KB,27a,786432,1,0,3.349274788
768KB,5c,786432,1,0,15.458227102
1MB,9d,1048576,2,1,41.658047646
1MB,21a,1048576,1,0,1.967824418
1MB,8b,1048576,2,1,30.845671181
1MB,25b,1048576,1,0,44.586081812
1MB,11b,1048576,0,0,1.8884538229999999
1MB,19c,1048576,2,1,55.355009534
1MB,25a,1048576,1,1,47.677541398
1MB,23a,1048576,0,0,16.266506419
1MB,28c,1048576,0,0,25.812938818
1MB,2c,1048576,0,0,0.310521618
1MB,3b,1048576,0,0,13.013939628
1MB,15a,1048576,1,0,16.110665566
1MB,26c,1048576,1,0,152.472772018
1MB,22d,1048576,2,0,63.401894997
1MB,31c,1048576,1,0,51.473291229
1MB,22a,1048576,3,0,19.248600821
1MB,7b,1048576,2,0,3.213556124
1MB,16d,1048576,1,0,0.261820971
1MB,13c,1048576,3,0,23.79177604
1MB,15c,1048576,1,0,15.960823881
1MB,10b,1048576,3,1,33.543051297
1MB,12b,1048576,1,0,13.841092784
1MB,1a,1048576,0,0,4.370692741
1MB,24b,1048576,2,0,46.666110496
1MB,31a,1048576,1,0,53.767194668
1MB,25c,1048576,1,1,51.252623189
1MB,7c,1048576,2,1,238.08091144
1MB,3c,1048576,0,0,14.215538824
1MB,5b,1048576,1,0,14.451247589
1MB,21b,1048576,0,0,3.336547255
1MB,4b,1048576,0,0,2.753147142
1MB,18b,1048576,2,0,10.625891627
1MB,27b,1048576,1,0,3.342535184
1MB,6b,1048576,2,0,3.899946446
1MB,13a,1048576,1,0,23.418075866
1MB,22c,1048576,2,0,34.819486724
1MB,2b,1048576,0,0,0.283922327
1MB,8d,1048576,2,1,129.919759169
1MB,23b,1048576,1,0,16.229206685
1MB,2d,1048576,0,0,0.28244777
1MB,4a,1048576,0,0,7.422222859
1MB,20b,1048576,1,0,29.271476181
1MB,17b,1048576,2,0,0.621230805
1MB,29c,1048576,1,1,5069.012143369
1MB,17e,1048576,1,0,0.286121055
1MB,6e,1048576,2,0,3.99095323
