label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
stq2,262144,256KB,8,95.2
stq2,262144,256KB,9,84.4
stq2,262144,256KB,10,58.5
stq2,262144,256KB,1,477.0
stq2,262144,256KB,2,328.0
stq2,262144,256KB,3,291.0
stq2,262144,256KB,4,223.0
stq2,262144,256KB,5,200.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.3
stq2,262144,256KB,9,83.5
stq2,262144,256KB,10,58.0
stq2,262144,256KB,1,491.0
stq2,262144,256KB,2,333.0
stq2,262144,256KB,3,292.0
stq2,262144,256KB,4,225.0
stq2,262144,256KB,5,202.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.3
stq2,262144,256KB,9,83.5
stq2,262144,256KB,10,57.9
stq2,262144,256KB,1,477.0
stq2,262144,256KB,2,330.0
stq2,262144,256KB,3,292.0
stq2,262144,256KB,4,225.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,100.0
stq2,262144,256KB,8,93.6
stq2,262144,256KB,9,82.9
stq2,262144,256KB,10,57.4
stq2,262144,256KB,1,496.0
stq2,262144,256KB,2,349.0
stq2,262144,256KB,3,311.0
stq2,262144,256KB,4,242.0
stq2,262144,256KB,5,219.0
stq2,262144,256KB,6,122.0
stq2,262144,256KB,7,109.0
stq2,262144,256KB,8,102.0
stq2,262144,256KB,9,91.5
stq2,262144,256KB,10,65.9
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,330.0
stq2,262144,256KB,3,292.0
stq2,262144,256KB,4,225.0
stq2,262144,256KB,5,202.0
stq2,262144,256KB,6,115.0
stq2,262144,256KB,7,102.0
stq2,262144,256KB,8,95.0
stq2,262144,256KB,9,84.2
stq2,262144,256KB,10,58.6
stq2,262144,256KB,1,492.0
stq2,262144,256KB,2,345.0
stq2,262144,256KB,3,306.0
stq2,262144,256KB,4,236.0
stq2,262144,256KB,5,212.0
stq2,262144,256KB,6,119.0
stq2,262144,256KB,7,105.0
stq2,262144,256KB,8,98.4
stq2,262144,256KB,9,87.3
stq2,262144,256KB,10,57.7
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,329.0
stq2,262144,256KB,3,290.0
stq2,262144,256KB,4,222.0
stq2,262144,256KB,5,200.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,93.8
stq2,262144,256KB,9,83.0
stq2,262144,256KB,10,57.5
stq2,262144,256KB,1,477.0
stq2,262144,256KB,2,331.0
stq2,262144,256KB,3,293.0
stq2,262144,256KB,4,226.0
stq2,262144,256KB,5,204.0
stq2,262144,256KB,6,115.0
stq2,262144,256KB,7,102.0
stq2,262144,256KB,8,95.3
stq2,262144,256KB,9,84.1
stq2,262144,256KB,10,58.1
stq2,262144,256KB,1,480.0
stq2,262144,256KB,2,328.0
stq2,262144,256KB,3,290.0
stq2,262144,256KB,4,223.0
stq2,262144,256KB,5,199.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,99.6
stq2,262144,256KB,8,93.0
stq2,262144,256KB,9,82.1
stq2,262144,256KB,10,56.8
stq2,262144,256KB,1,474.0
stq2,262144,256KB,2,328.0
stq2,262144,256KB,3,291.0
stq2,262144,256KB,4,224.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.8
stq2,262144,256KB,9,84.2
stq2,262144,256KB,10,59.2
stq2,262144,256KB,1,484.0
stq2,262144,256KB,2,337.0
stq2,262144,256KB,3,299.0
stq2,262144,256KB,4,225.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,102.0
stq2,262144,256KB,8,94.8
stq2,262144,256KB,9,84.0
stq2,262144,256KB,10,58.5
stq2,262144,256KB,1,485.0
stq2,262144,256KB,2,337.0
stq2,262144,256KB,3,298.0
stq2,262144,256KB,4,231.0
stq2,262144,256KB,5,208.0
stq2,262144,256KB,6,122.0
stq2,262144,256KB,7,109.0
stq2,262144,256KB,8,102.0
stq2,262144,256KB,9,91.4
stq2,262144,256KB,10,66.0
stq2,262144,256KB,1,495.0
stq2,262144,256KB,2,344.0
stq2,262144,256KB,3,304.0
stq2,262144,256KB,4,231.0
stq2,262144,256KB,5,203.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.5
stq2,262144,256KB,9,83.7
stq2,262144,256KB,10,58.3
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,330.0
stq2,262144,256KB,3,292.0
stq2,262144,256KB,4,223.0
stq2,262144,256KB,5,200.0
stq2,262144,256KB,6,113.0
stq2,262144,256KB,7,100.0
stq2,262144,256KB,8,93.5
stq2,262144,256KB,9,82.7
stq2,262144,256KB,10,57.3
stq2,262144,256KB,1,475.0
stq2,262144,256KB,2,328.0
stq2,262144,256KB,3,290.0
